C1H2O3N1,C3H4O8N3,C4H5O11N4,C4H5O7N2,C4H5O9N3,C4H6O11N4,C4H6O13N5,C4H6O5N1,C4H6O7N2,C4H6O9N3,C4H7O13N5,C8H11O20N7,C8H11O22N8,C8H12O16N5,C8H12O18N6,C8H12O20N7,C8H12O22N8,H1,H1O2N1,O2N1
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,85,1,0,3,10,0,0,0,0,0,0,0,0,1,15
0,0,0,0,1,83,1,0,3,12,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,83,1,0,3,12,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,83,1,0,3,12,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,84,1,0,3,11,0,0,0,0,0,0,0,0,1,16
0,0,0,0,1,85,0,0,3,11,0,0,0,0,0,0,0,0,1,17
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,84,0,0,3,12,0,0,0,0,0,0,0,0,1,18
0,0,0,0,1,82,0,0,3,14,0,0,0,0,0,0,0,0,1,20
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
0,0,0,0,1,83,0,0,3,13,0,0,0,0,0,0,0,0,1,19
